Open_Closed,WhoAff,PopAff,Var_R,Var_A,M,K,Yr_Dist_Start,Dist_Length,Yr_Dist_End,Yr_Sampled,Samp_time,Dist_Impact,IO,BA,BACI
closed,juvs,both,5400,0.014,0.119,1,6,1,7,14,7,0.7,0.963248,0.954788,0.95722
closed,juvs,both,5400,0.014,0.119,1,6,1,7,15,8,0.7,0.963048,0.9579,0.953898
closed,juvs,both,5400,0.014,0.119,1,6,1,7,16,9,0.7,0.968972,0.962818,0.962008
closed,juvs,both,5400,0.014,0.119,1,6,1,7,17,10,0.7,0.964132,0.962466,0.959988
closed,juvs,both,5400,0.014,0.119,1,6,1,7,18,11,0.7,0.969238,0.967378,0.964192
closed,juvs,both,5400,0.014,0.119,1,6,1,7,19,12,0.7,0.972968,0.971044,0.964874
closed,juvs,both,5400,0.014,0.119,1,6,1,7,20,13,0.7,0.96982,0.969688,0.963886
closed,juvs,both,5400,0.014,0.119,1,6,1,7,21,14,0.7,0.97198,0.965732,0.958298
closed,juvs,both,5400,0.014,0.119,1,6,1,7,22,15,0.7,0.982902,0.973744,0.971678
closed,juvs,both,5400,0.014,0.119,1,6,1,7,23,16,0.7,0.983164,0.977168,0.974508
closed,juvs,both,5400,0.014,0.119,1,6,1,7,24,17,0.7,0.97437,0.973296,0.966734
closed,juvs,both,5400,0.014,0.119,1,6,1,7,25,18,0.7,0.976474,0.972936,0.968986
closed,juvs,both,5400,0.014,0.119,1,6,1,7,26,19,0.7,0.980048,0.980192,0.974536
closed,juvs,both,5400,0.014,0.119,1,6,1,7,0,-7,0.75,0.488396,0.498002,0.498002
closed,juvs,both,5400,0.014,0.119,1,6,1,7,1,-6,0.75,0.620372,0.613886,0.62319
closed,juvs,both,5400,0.014,0.119,1,6,1,7,2,-5,0.75,0.689954,0.688826,0.690078
closed,juvs,both,5400,0.014,0.119,1,6,1,7,3,-4,0.75,0.76168,0.758644,0.751424
closed,juvs,both,5400,0.014,0.119,1,6,1,7,4,-3,0.75,0.824216,0.811466,0.810336
closed,juvs,both,5400,0.014,0.119,1,6,1,7,5,-2,0.75,0.853864,0.844114,0.847266
closed,juvs,both,5400,0.014,0.119,1,6,1,7,6,-1,0.75,0.884866,0.868418,0.875552
closed,juvs,both,5400,0.014,0.119,1,6,1,7,7,0,0.75,0.90077,0.883012,0.891848
closed,juvs,both,5400,0.014,0.119,1,6,1,7,8,1,0.75,0.917186,0.906376,0.908118
closed,juvs,both,5400,0.014,0.119,1,6,1,7,9,2,0.75,0.935908,0.918008,0.922516
closed,juvs,both,5400,0.014,0.119,1,6,1,7,10,3,0.75,0.95469,0.935308,0.941788
closed,juvs,both,5400,0.014,0.119,1,6,1,7,11,4,0.75,0.95268,0.943886,0.940848
closed,juvs,both,5400,0.014,0.119,1,6,1,7,12,5,0.75,0.951646,0.944802,0.936672
closed,juvs,both,5400,0.014,0.119,1,6,1,7,13,6,0.75,0.95703,0.955386,0.947942
closed,juvs,both,5400,0.014,0.119,1,6,1,7,14,7,0.75,0.950652,0.949384,0.947388
closed,juvs,both,5400,0.014,0.119,1,6,1,7,15,8,0.75,0.96291,0.963492,0.960602
closed,juvs,both,5400,0.014,0.119,1,6,1,7,16,9,0.75,0.960342,0.969214,0.960108
closed,juvs,both,5400,0.014,0.119,1,6,1,7,17,10,0.75,0.96125,0.965206,0.959064
closed,juvs,both,5400,0.014,0.119,1,6,1,7,18,11,0.75,0.966986,0.96597,0.956772
closed,juvs,both,5400,0.014,0.119,1,6,1,7,19,12,0.75,0.971848,0.970742,0.969364
closed,juvs,both,5400,0.014,0.119,1,6,1,7,20,13,0.75,0.975162,0.975366,0.970232
closed,juvs,both,5400,0.014,0.119,1,6,1,7,21,14,0.75,0.97832,0.978276,0.97552
closed,juvs,both,5400,0.014,0.119,1,6,1,7,22,15,0.75,0.969112,0.973326,0.966138
closed,juvs,both,5400,0.014,0.119,1,6,1,7,23,16,0.75,0.970696,0.971574,0.964898
closed,juvs,both,5400,0.014,0.119,1,6,1,7,24,17,0.75,0.980668,0.980624,0.980428
closed,juvs,both,5400,0.014,0.119,1,6,1,7,25,18,0.75,0.979714,0.979108,0.977986
closed,juvs,both,5400,0.014,0.119,1,6,1,7,26,19,0.75,0.976606,0.980932,0.976722
closed,juvs,both,5400,0.014,0.119,1,6,1,7,0,-7,0.8,0.496446,0.498002,0.498002
closed,juvs,both,5400,0.014,0.119,1,6,1,7,1,-6,0.8,0.626544,0.594534,0.611056
closed,juvs,both,5400,0.014,0.119,1,6,1,7,2,-5,0.8,0.68577,0.675152,0.680626
closed,juvs,both,5400,0.014,0.119,1,6,1,7,3,-4,0.8,0.752134,0.729482,0.744542
closed,juvs,both,5400,0.014,0.119,1,6,1,7,4,-3,0.8,0.786504,0.786702,0.776356
closed,juvs,both,5400,0.014,0.119,1,6,1,7,5,-2,0.8,0.841396,0.829486,0.837292
closed,juvs,both,5400,0.014,0.119,1,6,1,7,6,-1,0.8,0.879664,0.877492,0.881236
closed,juvs,both,5400,0.014,0.119,1,6,1,7,7,0,0.8,0.911394,0.883878,0.892948
closed,juvs,both,5400,0.014,0.119,1,6,1,7,8,1,0.8,0.917802,0.903026,0.918502
closed,juvs,both,5400,0.014,0.119,1,6,1,7,9,2,0.8,0.935732,0.918408,0.929134
closed,juvs,both,5400,0.014,0.119,1,6,1,7,10,3,0.8,0.943494,0.924512,0.931058
closed,juvs,both,5400,0.014,0.119,1,6,1,7,11,4,0.8,0.949798,0.933886,0.944916
closed,juvs,both,5400,0.014,0.119,1,6,1,7,12,5,0.8,0.963746,0.944382,0.944272
closed,juvs,both,5400,0.014,0.119,1,6,1,7,13,6,0.8,0.950518,0.942512,0.942144
closed,juvs,both,5400,0.014,0.119,1,6,1,7,14,7,0.8,0.961264,0.95632,0.961778
closed,juvs,both,5400,0.014,0.119,1,6,1,7,15,8,0.8,0.96094,0.957324,0.954674
closed,juvs,both,5400,0.014,0.119,1,6,1,7,16,9,0.8,0.976334,0.968672,0.966102
closed,juvs,both,5400,0.014,0.119,1,6,1,7,17,10,0.8,0.965454,0.9606,0.963802
closed,juvs,both,5400,0.014,0.119,1,6,1,7,18,11,0.8,0.9746,0.969674,0.969192
closed,juvs,both,5400,0.014,0.119,1,6,1,7,19,12,0.8,0.97543,0.970588,0.966812
closed,juvs,both,5400,0.014,0.119,1,6,1,7,20,13,0.8,0.97089,0.97069,0.966998
closed,juvs,both,5400,0.014,0.119,1,6,1,7,21,14,0.8,0.972794,0.968008,0.971776
closed,juvs,both,5400,0.014,0.119,1,6,1,7,22,15,0.8,0.98031,0.973938,0.974702
closed,juvs,both,5400,0.014,0.119,1,6,1,7,23,16,0.8,0.975134,0.972518,0.973828
closed,juvs,both,5400,0.014,0.119,1,6,1,7,24,17,0.8,0.98076,0.975998,0.970618
closed,juvs,both,5400,0.014,0.119,1,6,1,7,25,18,0.8,0.973024,0.972284,0.97339
closed,juvs,both,5400,0.014,0.119,1,6,1,7,26,19,0.8,0.977968,0.976036,0.976134
closed,juvs,both,5400,0.014,0.119,1,6,1,7,0,-7,0.85,0.522318,0.498002,0.498002
closed,juvs,both,5400,0.014,0.119,1,6,1,7,1,-6,0.85,0.610228,0.584014,0.5707
closed,juvs,both,5400,0.014,0.119,1,6,1,7,2,-5,0.85,0.702692,0.666518,0.670222
closed,juvs,both,5400,0.014,0.119,1,6,1,7,3,-4,0.85,0.770348,0.738976,0.742406
closed,juvs,both,5400,0.014,0.119,1,6,1,7,4,-3,0.85,0.822408,0.78993,0.775328
closed,juvs,both,5400,0.014,0.119,1,6,1,7,5,-2,0.85,0.843086,0.835324,0.815596
closed,juvs,both,5400,0.014,0.119,1,6,1,7,6,-1,0.85,0.876324,0.860032,0.847302
closed,juvs,both,5400,0.014,0.119,1,6,1,7,7,0,0.85,0.895774,0.880288,0.866204
closed,juvs,both,5400,0.014,0.119,1,6,1,7,8,1,0.85,0.914238,0.890124,0.891926
closed,juvs,both,5400,0.014,0.119,1,6,1,7,9,2,0.85,0.927884,0.908838,0.902558
closed,juvs,both,5400,0.014,0.119,1,6,1,7,10,3,0.85,0.944354,0.92575,0.92774
closed,juvs,both,5400,0.014,0.119,1,6,1,7,11,4,0.85,0.949508,0.93411,0.942058
closed,juvs,both,5400,0.014,0.119,1,6,1,7,12,5,0.85,0.957394,0.935616,0.939812
closed,juvs,both,5400,0.014,0.119,1,6,1,7,13,6,0.85,0.96734,0.95148,0.948148
closed,juvs,both,5400,0.014,0.119,1,6,1,7,14,7,0.85,0.962216,0.95211,0.95108
closed,juvs,both,5400,0.014,0.119,1,6,1,7,15,8,0.85,0.958518,0.952098,0.946246
closed,juvs,both,5400,0.014,0.119,1,6,1,7,16,9,0.85,0.973856,0.965316,0.964474
closed,juvs,both,5400,0.014,0.119,1,6,1,7,17,10,0.85,0.965828,0.962696,0.95956
closed,juvs,both,5400,0.014,0.119,1,6,1,7,18,11,0.85,0.970204,0.961646,0.957906
closed,juvs,both,5400,0.014,0.119,1,6,1,7,19,12,0.85,0.978148,0.97133,0.970224
closed,juvs,both,5400,0.014,0.119,1,6,1,7,20,13,0.85,0.976788,0.962828,0.967054
closed,juvs,both,5400,0.014,0.119,1,6,1,7,21,14,0.85,0.98078,0.97077,0.970398
closed,juvs,both,5400,0.014,0.119,1,6,1,7,22,15,0.85,0.97612,0.969952,0.961286
closed,juvs,both,5400,0.014,0.119,1,6,1,7,23,16,0.85,0.979328,0.971612,0.973884
closed,juvs,both,5400,0.014,0.119,1,6,1,7,24,17,0.85,0.975148,0.971914,0.96813
closed,juvs,both,5400,0.014,0.119,1,6,1,7,25,18,0.85,0.979878,0.972598,0.967812
closed,juvs,both,5400,0.014,0.119,1,6,1,7,26,19,0.85,0.972392,0.969654,0.964264
closed,juvs,both,5400,0.014,0.119,1,6,1,7,0,-7,0.9,0.491234,0.498002,0.498002
closed,juvs,both,5400,0.014,0.119,1,6,1,7,1,-6,0.9,0.602788,0.599208,0.591668
closed,juvs,both,5400,0.014,0.119,1,6,1,7,2,-5,0.9,0.699446,0.670694,0.690172
closed,juvs,both,5400,0.014,0.119,1,6,1,7,3,-4,0.9,0.750872,0.731246,0.73485
closed,juvs,both,5400,0.014,0.119,1,6,1,7,4,-3,0.9,0.799034,0.776816,0.790004
closed,juvs,both,5400,0.014,0.119,1,6,1,7,5,-2,0.9,0.835978,0.82228,0.829666
closed,juvs,both,5400,0.014,0.119,1,6,1,7,6,-1,0.9,0.879308,0.85475,0.867406
closed,juvs,both,5400,0.014,0.119,1,6,1,7,7,0,0.9,0.88885,0.878946,0.883292
closed,juvs,both,5400,0.014,0.119,1,6,1,7,8,1,0.9,0.92169,0.899688,0.916526
closed,juvs,both,5400,0.014,0.119,1,6,1,7,9,2,0.9,0.937194,0.917044,0.926716
closed,juvs,both,5400,0.014,0.119,1,6,1,7,10,3,0.9,0.9445,0.92535,0.933068
closed,juvs,both,5400,0.014,0.119,1,6,1,7,11,4,0.9,0.951992,0.934848,0.941064
closed,juvs,both,5400,0.014,0.119,1,6,1,7,12,5,0.9,0.954122,0.941956,0.94958
closed,juvs,both,5400,0.014,0.119,1,6,1,7,13,6,0.9,0.970554,0.953618,0.969196
closed,juvs,both,5400,0.014,0.119,1,6,1,7,14,7,0.9,0.962792,0.948158,0.961056
closed,juvs,both,5400,0.014,0.119,1,6,1,7,15,8,0.9,0.970732,0.955934,0.966936
closed,juvs,both,5400,0.014,0.119,1,6,1,7,16,9,0.9,0.97305,0.95636,0.968634
closed,juvs,both,5400,0.014,0.119,1,6,1,7,17,10,0.9,0.977844,0.969268,0.97404
closed,juvs,both,5400,0.014,0.119,1,6,1,7,18,11,0.9,0.974786,0.965452,0.967006
closed,juvs,both,5400,0.014,0.119,1,6,1,7,19,12,0.9,0.98271,0.970444,0.975066
closed,juvs,both,5400,0.014,0.119,1,6,1,7,20,13,0.9,0.976376,0.968046,0.969562
closed,juvs,both,5400,0.014,0.119,1,6,1,7,21,14,0.9,0.973298,0.967004,0.967546
closed,juvs,both,5400,0.014,0.119,1,6,1,7,22,15,0.9,0.972334,0.9679,0.965722
closed,juvs,both,5400,0.014,0.119,1,6,1,7,23,16,0.9,0.974774,0.9728,0.971578
closed,juvs,both,5400,0.014,0.119,1,6,1,7,24,17,0.9,0.980176,0.973504,0.973062
closed,juvs,both,5400,0.014,0.119,1,6,1,7,25,18,0.9,0.980734,0.97534,0.97836
closed,juvs,both,5400,0.014,0.119,1,6,1,7,26,19,0.9,0.98163,0.978302,0.97903
closed,juvs,both,5400,0.014,0.119,1,6,1,7,0,-7,0.95,0.511852,0.498002,0.498002
closed,juvs,both,5400,0.014,0.119,1,6,1,7,1,-6,0.95,0.59675,0.577288,0.580574
closed,juvs,both,5400,0.014,0.119,1,6,1,7,2,-5,0.95,0.692624,0.675756,0.673278
closed,juvs,both,5400,0.014,0.119,1,6,1,7,3,-4,0.95,0.754592,0.73772,0.737332
closed,juvs,both,5400,0.014,0.119,1,6,1,7,4,-3,0.95,0.830984,0.794664,0.79812
closed,juvs,both,5400,0.014,0.119,1,6,1,7,5,-2,0.95,0.848866,0.834458,0.832478
closed,juvs,both,5400,0.014,0.119,1,6,1,7,6,-1,0.95,0.88755,0.871754,0.872572
closed,juvs,both,5400,0.014,0.119,1,6,1,7,7,0,0.95,0.905872,0.88825,0.89629
closed,juvs,both,5400,0.014,0.119,1,6,1,7,8,1,0.95,0.907736,0.90358,0.898146
closed,juvs,both,5400,0.014,0.119,1,6,1,7,9,2,0.95,0.930344,0.90861,0.919552
closed,juvs,both,5400,0.014,0.119,1,6,1,7,10,3,0.95,0.93167,0.924274,0.925388
closed,juvs,both,5400,0.014,0.119,1,6,1,7,11,4,0.95,0.949018,0.936678,0.936442
closed,juvs,both,5400,0.014,0.119,1,6,1,7,12,5,0.95,0.959374,0.940224,0.95312
closed,juvs,both,5400,0.014,0.119,1,6,1,7,13,6,0.95,0.958254,0.94301,0.950636
closed,juvs,both,5400,0.014,0.119,1,6,1,7,14,7,0.95,0.960604,0.949202,0.954328
closed,juvs,both,5400,0.014,0.119,1,6,1,7,15,8,0.95,0.965164,0.959022,0.954814
closed,juvs,both,5400,0.014,0.119,1,6,1,7,16,9,0.95,0.963366,0.953362,0.964488
closed,juvs,both,5400,0.014,0.119,1,6,1,7,17,10,0.95,0.969742,0.962076,0.971088
closed,juvs,both,5400,0.014,0.119,1,6,1,7,18,11,0.95,0.97545,0.965914,0.97515
closed,juvs,both,5400,0.014,0.119,1,6,1,7,19,12,0.95,0.96494,0.965432,0.961188
closed,juvs,both,5400,0.014,0.119,1,6,1,7,20,13,0.95,0.971484,0.97016,0.97025
closed,juvs,both,5400,0.014,0.119,1,6,1,7,21,14,0.95,0.97666,0.971836,0.97342
closed,juvs,both,5400,0.014,0.119,1,6,1,7,22,15,0.95,0.979034,0.976446,0.970972
closed,juvs,both,5400,0.014,0.119,1,6,1,7,23,16,0.95,0.982116,0.974308,0.976086
closed,juvs,both,5400,0.014,0.119,1,6,1,7,24,17,0.95,0.980156,0.977642,0.97362
closed,juvs,both,5400,0.014,0.119,1,6,1,7,25,18,0.95,0.97793,0.97628,0.974038
closed,juvs,both,5400,0.014,0.119,1,6,1,7,26,19,0.95,0.979634,0.975364,0.978376
closed,juvs,both,5400,0.014,0.119,1,6,1,7,0,-7,1,0.498956,0.498002,0.498002
closed,juvs,both,5400,0.014,0.119,1,6,1,7,1,-6,1,0.632142,0.621466,0.61401
closed,juvs,both,5400,0.014,0.119,1,6,1,7,2,-5,1,0.715006,0.686438,0.686292
closed,juvs,both,5400,0.014,0.119,1,6,1,7,3,-4,1,0.746686,0.740714,0.729958
closed,juvs,both,5400,0.014,0.119,1,6,1,7,4,-3,1,0.833142,0.798538,0.810358
closed,juvs,both,5400,0.014,0.119,1,6,1,7,5,-2,1,0.867906,0.836036,0.847134
closed,juvs,both,5400,0.014,0.119,1,6,1,7,6,-1,1,0.87702,0.862196,0.86441
