Open_Closed,WhoAff,PopAff,Var_R,Var_A,M,K,Yr_Dist_Start,Dist_Length,Yr_Dist_End,Yr_Sampled,Samp_time,Dist_Impact,IO,BA,BACI
open,juvs,both,5400,0.014,0.119,1,6,5,11,17,6,0.2,0.967526,0.875304,0.942678
open,juvs,both,5400,0.014,0.119,1,6,5,11,18,7,0.2,0.957052,0.899978,0.946424
open,juvs,both,5400,0.014,0.119,1,6,5,11,19,8,0.2,0.949172,0.91453,0.943468
open,juvs,both,5400,0.014,0.119,1,6,5,11,20,9,0.2,0.951712,0.927552,0.929628
open,juvs,both,5400,0.014,0.119,1,6,5,11,21,10,0.2,0.945208,0.934218,0.93496
open,juvs,both,5400,0.014,0.119,1,6,5,11,22,11,0.2,0.95372,0.947802,0.94459
open,juvs,both,5400,0.014,0.119,1,6,5,11,23,12,0.2,0.959538,0.952788,0.948662
open,juvs,both,5400,0.014,0.119,1,6,5,11,24,13,0.2,0.96534,0.96301,0.9581
open,juvs,both,5400,0.014,0.119,1,6,5,11,25,14,0.2,0.967228,0.959692,0.95711
open,juvs,both,5400,0.014,0.119,1,6,5,11,26,15,0.2,0.960928,0.961542,0.95266
open,juvs,both,5400,0.014,0.119,1,6,5,11,0,-11,0.25,0.500856,0.498002,0.498002
open,juvs,both,5400,0.014,0.119,1,6,5,11,1,-10,0.25,0.623974,0.593958,0.607886
open,juvs,both,5400,0.014,0.119,1,6,5,11,2,-9,0.25,0.710342,0.67997,0.694554
open,juvs,both,5400,0.014,0.119,1,6,5,11,3,-8,0.25,0.784028,0.7449,0.758768
open,juvs,both,5400,0.014,0.119,1,6,5,11,4,-7,0.25,0.8014,0.776656,0.79308
open,juvs,both,5400,0.014,0.119,1,6,5,11,5,-6,0.25,0.855402,0.828716,0.82964
open,juvs,both,5400,0.014,0.119,1,6,5,11,6,-5,0.25,0.88231,0.847902,0.864696
open,juvs,both,5400,0.014,0.119,1,6,5,11,7,-4,0.25,0.893466,0.852798,0.880056
open,juvs,both,5400,0.014,0.119,1,6,5,11,8,-3,0.25,0.92857,0.83612,0.907352
open,juvs,both,5400,0.014,0.119,1,6,5,11,9,-2,0.25,0.960054,0.82251,0.931684
open,juvs,both,5400,0.014,0.119,1,6,5,11,10,-1,0.25,0.973262,0.791886,0.946724
open,juvs,both,5400,0.014,0.119,1,6,5,11,11,0,0.25,0.990682,0.751734,0.964578
open,juvs,both,5400,0.014,0.119,1,6,5,11,12,1,0.25,0.991644,0.756006,0.966658
open,juvs,both,5400,0.014,0.119,1,6,5,11,13,2,0.25,0.990364,0.766364,0.966274
open,juvs,both,5400,0.014,0.119,1,6,5,11,14,3,0.25,0.988512,0.789286,0.960384
open,juvs,both,5400,0.014,0.119,1,6,5,11,15,4,0.25,0.979866,0.81087,0.953954
open,juvs,both,5400,0.014,0.119,1,6,5,11,16,5,0.25,0.9749,0.844742,0.9506
